"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Gnai3"	15693.3972946319	-0.404873266458674	0.169270408208522	-2.39187268905215	0.0167626557528182	0.106701226497382
"Cdc45"	2470.4505833514	0.141608034281954	0.220590991497152	0.641948401069597	0.520906686306959	0.690919202912219
"Scml2"	226.796454435737	-0.0369056370452433	0.328833278104052	-0.112232062575994	0.910639407501641	0.950445471082275
"Apoh"	21.1133283633743	0.112367387123041	0.385184365717142	0.291723644893618	0.770497929192488	NA
"Narf"	5665.95791868687	0.107721087452995	0.180732083493534	0.596026368814857	0.551157611295223	0.712760045231061
"Cav2"	775.136575887837	-0.941847292320639	0.199819337425691	-4.71349422160353	2.43504633437129e-06	0.00217603517039864
"Klf6"	13870.1874586514	-0.428414222129956	0.180403065820516	-2.37476131672943	0.0175603013184628	0.109358014692046
"Scmh1"	4051.47157681735	-0.128469416961284	0.104718751354535	-1.22680432395855	0.219896145271701	0.415063989296684
"Cox5a"	11735.9682137788	-0.453671649362405	0.162750063658442	-2.78753592572788	0.00531105650848276	0.0614509172291808
"Tbx2"	44.650328343905	0.483141997864338	0.667962192698905	0.723307401444683	0.46949104657371	0.649753590526745
"Tbx4"	20.0143122525726	-0.367029973319034	0.394415969812045	-0.930565700709175	0.352078263721881	NA
"Ngfr"	87.7943707652041	0.441745516497745	0.324943367025882	1.35945386588722	0.174002811994307	0.364584360172075
"Wnt3"	18.9828469137133	-0.375464491095326	0.376027311865093	-0.998503244971822	0.318035391741017	NA
"Wnt9a"	19.885505154168	0.00694834192676633	0.476482392456349	0.0145825785732531	0.988365198061039	NA
"Fer"	1751.29671388071	-0.0144595671027576	0.092805839613637	-0.155804496386808	0.876187126308065	0.931093774173969
"Xpo6"	8129.72999311762	-0.0379095302251435	0.130147700514255	-0.291280829975105	0.770836547573734	0.870190381949083
"Tfe3"	2278.44582286538	-0.285085494428064	0.151964854052455	-1.87599623745671	0.0606557965500743	0.208212570261271
"Axin2"	3907.93733107742	0.36799121404083	0.172680483572697	2.13105271902895	0.033084799256529	0.149827620557571
