"gene" "baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Gnai3"	13513.1855205377	-0.349450323215148	0.109347951838532	-3.19576468822354	0.00139460799830575	0.0181026868039251
"Cdc45"	1614.79072915959	-0.124584977018672	0.132279389570091	-0.941832113253426	0.346278601051336	0.59402874015079
"Scml2"	146.822893036224	-0.064156270854398	0.222727990197086	-0.288047635133904	0.77331027558194	0.893844233457099
"Apoh"	52.6129186827429	0.326055726244013	0.2494157048119	1.30727825054125	0.191118228076768	0.424040382526957
"Narf"	4528.42891463285	-0.10673899537256	0.104655042633193	-1.01991258793588	0.307769918980395	0.556851150568447
"Cav2"	197.393875849919	-0.748434933942803	0.1948975737859	-3.84014495103452	0.000122961687370423	0.00345957180642197
"Klf6"	14594.5982298998	-0.0128860266168122	0.146083292414325	-0.0882101327526528	0.929709663940763	0.970385555960518
"Scmh1"	3339.33727537443	-0.0666468573339689	0.0555324236753561	-1.20014314022359	0.230083753547118	0.474492453674993
"Cox5a"	13523.9055033838	0.0332637482933407	0.121688480941788	0.273351660205645	0.784582907719778	0.900033242264644
"Tbx2"	161.437384689994	0.171195318785825	0.474409758859474	0.36085960625556	0.71820440130691	0.864256968080135
"Tbx4"	21.3191339826671	0.0556520023326358	0.265235916618035	0.209820762746774	0.833807567431609	NA
"Ngfr"	106.288797412845	-0.0847723450684648	0.173648563982406	-0.488183392504495	0.625419946831065	0.809415866053859
"Wnt3"	31.6276410811185	0.281340774718018	0.283094695409788	0.993804473484638	0.320318067819906	NA
"Wnt9a"	33.601517604803	0.136760129605622	0.34218526069786	0.399666921148825	0.689401859108629	NA
"Fer"	1705.77467404693	-0.22590450161225	0.0864781343156123	-2.61227307226338	0.00899423810696737	0.0628651497447051
"Xpo6"	7492.57703068163	0.0609647589342984	0.077891598351141	0.782687224615225	0.433810806151885	0.671514251042036
"Tfe3"	2112.58424622635	-0.0501459762875738	0.098627164851568	-0.508439803202724	0.611144944870421	0.800544993170424
"Axin2"	4345.38876136381	0.0752337508354	0.149350988448688	0.50373788360462	0.61444558310396	0.802500711314548
"Brat1"	1653.80677605904	-0.0673727841899062	0.0834458995506231	-0.807382801943839	0.419445972190211	0.659718844644232
"Gna12"	2720.70757890512	-0.0466325228738119	0.110015206669709	-0.423873428823469	0.671658123271618	0.837331779409241
"Slc22a18"	5959.91849797557	0.121075481975781	0.16213663339192	0.746749697726327	0.455214664618355	0.688933234119778
"Itgb2l"	2300.62459244478	0.390095856524957	0.11352738590704	3.43613880834339	0.000590068566054217	0.0104601920216946
"Igsf5"	3773.32933454824	0.095447077995647	0.10566881406004	0.903266293321081	0.36638458122527	0.612778396360268
"Pih1d2"	242.655536074853	0.191081696185514	0.110302062985267	1.73234925090237	0.0832113978982453	0.25799722622637
"Dlat"	5674.70435807667	-0.251451633824072	0.0708059822762217	-3.55127668228841	0.000383367172829525	0.00762855145672239
"Sdhd"	15574.2088460368	-0.210996303598321	0.119652737865419	-1.76340556315262	0.0778321122042899	0.24788208422389
"Fgf23"	29.710065932205	0.342144998440443	0.273874164572619	1.24927810907013	0.211563371761871	NA
"Fgf6"	39.0494837082652	-0.134197694821143	0.261563654790733	-0.513059411593364	0.607909762349788	NA
"Ccnd2"	17503.2761056551	0.00737264939056263	0.124306893957265	0.059310060414648	0.952705148170489	0.980720683698316
